Property Name,Portfolio Manager ID,Street Address,City/Municipality,State/Province,Postal Code,Country,Property Type - Self-Selected,Gross Floor Area,GFA Units
Old Mill Sewage Pumping Station,35000806,5 OLD MILL RD,Etobicoke,Ontario,M8X 1G5,Canada,Other - Public Services,1,Sq. Ft.
Riverwood Sewage Pumping Station,35000807,115 Riverwood Pky,Etobicoke,Ontario,M8Y 4G3,Canada,Other - Public Services,1,Sq. Ft.
Lower Riverwood Landfill,35000804,33A Riverwood Pky,Etobicoke,Ontario,M8Y 4E3,Canada,Other - Public Services,1,Sq. Ft.
MacLean Detention Tank,35000805,6 Glen Manor Dr,Toronto,Ontario,M6B 2M1,Canada,Other - Public Services,7,Sq. Ft.
Glendale Shaft,35000802,1699 Lake Shore Blvd W,Toronto,Ontario,M6S 5A3,Canada,Other - Public Services,1,Sq. Ft.
High Park Sewage Pumping Station,35000803,1873 Bloor St W- Lot Cytor,Toronto,Ontario,M6P 3K7,Canada,Other - Public Services,1,Sq. Ft.
Dufferin Reservoir,35000800,8851 DUFFERIN ST,Maple,Ontario,L6A 1S2,Canada,Other - Public Services,635,Sq. Ft.
Edenbridge Sewage Blower,35000801,235 EDENBRIDGE DR,Etobicoke,Ontario,M9A 3G9,Canada,Other - Public Services,1,Sq. Ft.
Stormwater Storage Tank,35000814,101 OLD SHEPPARD AVE,North York,Ontario,M2J 3L7,Canada,Other - Public Services,1,Sq. Ft.
Whitlam Tank,35000815,26 WHITLAM AVE,Etobicoke,Ontario,M8V 2K1,Canada,Other - Public Services,1,Sq. Ft.
Spadina St Clair Reservoir,35000812,301 ST CLAIR AVE W,Toronto,Ontario,M4V 1S4,Canada,Other - Public Services,678,Sq. Ft.
Steelcase Rd,35000813,Steelcase Rd,Toronto,Ontario,M5V 3C6,Canada,Other - Public Services,1,Sq. Ft.
Service Chambers,35000810,Various Locations,Toronto,Ontario,M5V 3C6,Canada,Other - Public Services,48,Sq. Ft.
Sewer System Chamber,35000811,152 Disco Rd,Etobicoke,Ontario,M9W 1M4,Canada,Other - Public Services,1,Sq. Ft.
Rosehill Reservoir,35000808,75 ROSEHILL AVE,Toronto,Ontario,M4T 2W7,Canada,Other - Public Services,2023,Sq. Ft.
Rouge Water Tank & Valve House,35000809,8200 SHEPPARD AVE E,Scarborough,Ontario,M1B 5R3,Canada,Other - Public Services,2142,Sq. Ft.
#43 Police Division,59463393,4331 Lawrence Ave E,Scarborough,Ontario,", ON M1E 2T4",Canada,Police Station,5151,Sq. M.
FIRE STATION 331,59463292,33 CLAREMONT ST,Toronto,Ontario,M6J 2M3,Canada,Fire Station,1020,Sq. M.
Clarence Park Encampment Trailer,35490439,25 Clarence Square,Toronto,Ontario,M5V1H1,Canada,Other,1,Sq. Ft.
229 Richmond St. W,34999094,229 Richmond St. W,Toronto,Ontario,M5V 1W2,Canada,Office,1,Sq. Ft.
