Property Name,Portfolio Manager ID,Street Address,City/Municipality,State/Province,Postal Code,Country,Property Type - Self-Selected,Gross Floor Area,GFA Units
F.J. Horgan Water Treatment Plant,35000838,201 COPPERFIELD RD,Scarborough,Ontario,M1E 5G7,Canada,Drinking Water Treatment & Distribution,325447,Sq. Ft.
Island Water Treatment Plant,35000839,446 LAKESHORE AVE,Toronto,Ontario,M5J 2H3,Canada,Drinking Water Treatment & Distribution,64196,Sq. Ft.
W.H. Johnston Pumping Station,35000836,1560 ROYAL YORK RD,Etobicoke,Ontario,M9P 3C3,Canada,Drinking Water Treatment & Distribution,1744,Sq. Ft.
West Toronto Pumping Station,35000837,143 OLD WESTON RD,Toronto,Ontario,M6N 3A4,Canada,Drinking Water Treatment & Distribution,7739,Sq. Ft.
St. Albans Pumping Station,35000834,30 ST ALBANS RD,Etobicoke,Ontario,M9B 1A1,Canada,Drinking Water Treatment & Distribution,3240,Sq. Ft.
Thornhill Pumping Station,35000835,1 Green Lane,Thornhill,Ontario,L3T 7P7,Canada,Drinking Water Treatment & Distribution,1550,Sq. Ft.
Rosehill Pumping Station,35000832,240 MOUNT PLEASANT RD,Toronto,Ontario,M4T 2W7,Canada,Drinking Water Treatment & Distribution,1550,Sq. Ft.
Scarborough Pumping Station,35000833,21 FISHLEIGH DR,Scarborough,Ontario,M1N 1H1,Canada,Drinking Water Treatment & Distribution,9160,Sq. Ft.
R.C. Harris Water Treatment Plant,35000840,2701 QUEEN ST E,Toronto,Ontario,M4E 1J1,Canada,Drinking Water Treatment & Distribution,115368,Sq. Ft.
R.L. Clark Water Treatment Plant,35000841,1 TWENTY THIRD ST,Etobicoke,Ontario,M8V 3M6,Canada,Drinking Water Treatment & Distribution,401612,Sq. Ft.
Glasgow St Parkette,35058294,4 Glasgow St,Toronto,Ontario,M5T 2C1,Canada,Other - Public Services,3064,Sq. Ft.
Maryvale Library,35000342,85 ELLESMERE RD,Scarborough,Ontario,M1R 4B8,Canada,Library,4421,Sq. Ft.
McGregor Park Library,35000343,2219 LAWRENCE AVE E,Scarborough,Ontario,M1P 2P5,Canada,Library,7793,Sq. Ft.
Main Street Library,35000340,137 MAIN ST,Toronto,Ontario,M4E 2V9,Canada,Library,8664,Sq. Ft.
Maria A Shchuka Library,35000341,1745 EGLINTON AVE W,Toronto,Ontario,M6E 2H4,Canada,Library,25475,Sq. Ft.
Locke Library,35000338,3083 YONGE ST,Toronto,Ontario,M4N 2K7,Canada,Library,11647,Sq. Ft.
Long Branch Library,35000339,3500 LAKE SHORE BLVD W,Etobicoke,Ontario,M8W 1N6,Canada,Library,6418,Sq. Ft.
Leaside Library,35000336,165 MCRAE DR,East York,Ontario,M4G 1S8,Canada,Library,12000,Sq. Ft.
Lillian H Smith Library,35000337,239 COLLEGE ST,Toronto,Ontario,M5T 1R5,Canada,Library,38935,Sq. Ft.
North York Central Library,35000350,5120 YONGE ST,North York,Ontario,M2N 5N9,Canada,Library,168022,Sq. Ft.
Northern District Library,35000351,40 ORCHARD VIEW BLVD,Toronto,Ontario,M4R 1B9,Canada,Library,117452,Sq. Ft.
New Toronto Library,35000348,110 ELEVENTH ST,Etobicoke,Ontario,M8V 3G5,Canada,Library,9925,Sq. Ft.
North York Admin Services,35000349,120 MARTIN ROSS AVE,North York,Ontario,M3J 2L4,Canada,Library,28000,Sq. Ft.
Mount Dennis Library,35000346,1123 WESTON RD,Toronto,Ontario,M6N 3S3,Canada,Library,11350,Sq. Ft.
Mount Pleasant Library,35000347,599 MOUNT PLEASANT RD,Toronto,Ontario,M4S 2M5,Canada,Library,5829,Sq. Ft.
Mimico Library,35000344,47 STATION RD,Etobicoke,Ontario,M8V 2R1,Canada,Library,17469,Sq. Ft.
Morningside Library,35000345,292 MANSE RD,Scarborough,Ontario,M1E 2S8,Canada,Library,7000,Sq. Ft.
Guildwood Library,35000326,123 GUILDWOOD PKWY,Scarborough,Ontario,M1E 4V2,Canada,Library,3010,Sq. Ft.
High Park Library,35000327,228 RONCESVALLES AVE,Toronto,Ontario,M6R 2L7,Canada,Library,8850,Sq. Ft.
Gerrard Ashdale Library,35000324,1432 GERRARD ST E,Toronto,Ontario,M4L 1Z6,Canada,Library,6504,Sq. Ft.
Goldhawk Park Library,35000325,295 ALTON TOWERS CRCL,Scarborough,Ontario,M1V 4P1,Canada,Library,8000,Sq. Ft.
Fairview Mall Library,35000322,35 FAIRVIEW MALL DR,North York,Ontario,M2J 4S4,Canada,Library,69458,Sq. Ft.
Fort York Library,35000323,190 FORT YORK BLVD,Toronto,Ontario,M5V 0E7,Canada,Library,16008,Sq. Ft.
Elmbrook Park Library,35000320,2 ELMBROOK CRES,Etobicoke,Ontario,M9C 5B4,Canada,Library,3600,Sq. Ft.
Evelyn Gregory Library,35000321,120 TROWELL AVE,Toronto,Ontario,M6M 1L7,Canada,Library,6200,Sq. Ft.
Jones Library,35000334,118 JONES AVE,Toronto,Ontario,M4M 2Z7,Canada,Library,3636,Sq. Ft.
Kennedy Eglinton Library,35000335,2380 EGLINTON AVE E,Scarborough,Ontario,M1K 2P3,Canada,Library,6713,Sq. Ft.
Jane & Dundas Library,35000332,620 JANE ST,Toronto,Ontario,M6S 4A6,Canada,Library,11955,Sq. Ft.
Jane Sheppard Library,35000333,1906 SHEPPARD AVE W,North York,Ontario,M3L 1Y7,Canada,Library,7000,Sq. Ft.
Humber Bay Library,35000330,200 PARK LAWN RD,Etobicoke,Ontario,M8Y 3J1,Canada,Library,2400,Sq. Ft.
Humber Summit Library,35000331,2990 ISLINGTON AVE,North York,Ontario,M9L 2K6,Canada,Library,9040,Sq. Ft.
Highland Creek Library,35000328,3550 ELLESMERE RD,Scarborough,Ontario,M1C 3Z2,Canada,Library,7000,Sq. Ft.
Hillcrest Library,35000329,5801 LESLIE ST,North York,Ontario,M2H 1J8,Canada,Library,7473,Sq. Ft.
Toronto Reference Library,35000374,789 YONGE ST,Toronto,Ontario,M4W 2G8,Canada,Library,434841,Sq. Ft.
Victoria Village Library,35000375,184 SLOANE AVE,North York,Ontario,M4A 2C4,Canada,Library,5383,Sq. Ft.
Taylor Memorial Library,35000372,1440 KINGSTON RD,Scarborough,Ontario,M1N 1R3,Canada,Library,5000,Sq. Ft.
Thorncliffe Library,35000373,48 THORNCLIFFE PARK DR,East York,Ontario,M4H 1J7,Canada,Library,11034,Sq. Ft.
St Lawrence Library,35000370,171 FRONT ST E,Toronto,Ontario,M5A 4H3,Canada,Library,4833,Sq. Ft.
Steeles Library,35000371,375 BAMBURGH CRCL,Scarborough,Ontario,M1W 3Y1,Canada,Library,5509,Sq. Ft.
Spadina Road Library,35000368,10 SPADINA RD,Toronto,Ontario,M5R 2S7,Canada,Library,3952,Sq. Ft.
St Clair Silverthorn Library,35000369,1748 ST CLAIR AVE W,Toronto,Ontario,M6N 1J3,Canada,Library,4587,Sq. Ft.
1440 Lake Shore Blvd W,35000382,1440 Lake Shore Blvd W,Toronto,Ontario,M6K 3C1,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Algonguin Island Sewage Pumping Station,35000383,16 WYANDOT AVE,Toronto,Ontario,M5J 2M9,Canada,Wastewater Treatment Plant,75,Sq. Ft.
York Woods Library,35000380,1785 FINCH AVE W,North York,Ontario,M3N 1M6,Canada,Library,42176,Sq. Ft.
Yorkville Library,35000381,22 YORKVILLE AVE,Toronto,Ontario,M4W 1L4,Canada,Library,9053,Sq. Ft.
Woodview Park Library,35000378,16 BRADSTOCK RD,North York,Ontario,M9M 1M8,Canada,Library,6658,Sq. Ft.
Wychwood Library,35000379,1431 BATHURST ST,Toronto,Ontario,M5R 3J2,Canada,Library,6381,Sq. Ft.
Weston Library,35000376,2 KING ST,Toronto,Ontario,M9N 1K9,Canada,Library,11944,Sq. Ft.
Woodside Square Library,35000377,1571 SANDHURST CRCL,Scarborough,Ontario,M1V 1V2,Canada,Library,9792,Sq. Ft.
Parliament Library,35000358,269 GERRARD ST E,Toronto,Ontario,M5A 2G3,Canada,Library,14634,Sq. Ft.
Perth Dupont Library,35000359,1589 DUPONT ST,Toronto,Ontario,M6P 3S5,Canada,Library,3627,Sq. Ft.
Pape Danforth Library,35000356,701 PAPE AVE,Toronto,Ontario,M4K 3S6,Canada,Library,8175,Sq. Ft.
Parkdale Library,35000357,1303 QUEEN ST W,Toronto,Ontario,M6K 1L6,Canada,Library,24083,Sq. Ft.
Oakwood Village Library,35000354,341 OAKWOOD AVE,Toronto,Ontario,M6E 2W1,Canada,Library,17270,Sq. Ft.
Palmerston Library,35000355,560 PALMERSTON AVE,Toronto,Ontario,M6G 2P7,Canada,Library,8493,Sq. Ft.
Northern Elms Library,35000352,123 REXDALE BLVD,Etobicoke,Ontario,M9W 3W7,Canada,Library,3936,Sq. Ft.
NY Central Pop-up Library,35000353,5150 YONGE ST,North York,Ontario,M2N 6L8,Canada,Library,1600,Sq. Ft.
Sanderson Library,35000366,327 BATHURST ST,Toronto,Ontario,M5T 1J1,Canada,Library,12702,Sq. Ft.
Scarborough Civic Centre Library,35000367,156 BOROUGH DR,Scarborough,Ontario,M1P 4N7,Canada,Library,14500,Sq. Ft.
Runnymede Library,35000364,2178 BLOOR ST W,Toronto,Ontario,M6S 1M8,Canada,Library,12034,Sq. Ft.
S Walter Stewart Library,35000365,170 MEMORIAL PARK AVE,Toronto,Ontario,M4J 2K5,Canada,Library,25847,Sq. Ft.
Richview Library,35000362,1806 ISLINGTON AVE,Etobicoke,Ontario,M9P 3N3,Canada,Library,47252,Sq. Ft.
Riverdale Library,35000363,370 BROADVIEW AVE,Toronto,Ontario,M4K 2M8,Canada,Library,9658,Sq. Ft.
Pleasant View Library,35000360,575 VAN HORNE AVE,North York,Ontario,M2J 4S8,Canada,Library,7000,Sq. Ft.
Rexdale Library,35000361,2243 KIPLING AVE,Etobicoke,Ontario,M9W 4L5,Canada,Library,5088,Sq. Ft.
Mimico Sewage Pumping Station,35000406,9 SUPERIOR AVE,Etobicoke,Ontario,M8V 2M5,Canada,Wastewater Treatment Plant,4435,Sq. Ft.
New Toronto Pumping Station,35000407,31 LAKE SHORE DR,Etobicoke,Ontario,M8V 1Z3,Canada,Wastewater Treatment Plant,2067,Sq. Ft.
Midland Sewage Pumping Station,35000404,21 MIDLAND AVE,Scarborough,Ontario,M1N 3Z5,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Military Trail Sewage Pumping Station,35000405,451 MILITARY TRL,Scarborough,Ontario,M1E 4E8,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Lower Simcoe Storm Pumping Station,35000402,75 LOWER SIMCOE ST,Toronto,Ontario,M5V 3L9,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Martin Grove Sewage Pumping Station,35000403,1 VULCAN ST,Etobicoke,Ontario,M9W 1L3,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Livingston Rd Sewage Pumping Station,35000400,42 LIVINGSTON RD,Scarborough,Ontario,M1E 1K7,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Long Branch Sewage Pumping Station,35000401,2 FORTY SECOND ST,Etobicoke,Ontario,M8W 1C4,Canada,Wastewater Treatment Plant,3068,Sq. Ft.
Sewells Rd Sewage Pumping Station,35000414,579 SEWELLS RD,Scarborough,Ontario,M1B 5E4,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Silver Birch Ave Sewage Pumping Station,35000415,1 SILVER BIRCH AVE,Toronto,Ontario,M4E 3K8,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Riverside Sewage Pumping Station,35000412,20 RIVERSIDE CRES,Toronto,Ontario,M6S 1B6,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Scott Sewage Pumping Station,35000413,6 Scott St,Toronto,Ontario,M5E 1A1,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Redlands Sewage Pumping Station,35000410,1 REDLAND CRES W,Scarborough,Ontario,M1M 1B4,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Ridgevalley Sewage PS,35000411,21 RIDGEVALLEY CRES,Etobicoke,Ontario,M9A 3J7,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Port Union Sewage Pumping Station,35000408,47 LAKERIDGE DR,Scarborough,Ontario,M1C 5E3,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Queensway Sewage Pumping Station,35000409,63 The Queensway,Etobicoke,Ontario,M9C 1B8,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Cumber Sewage Pumping Station,35000390,5310 LAWRENCE AVE E,Scarborough,Ontario,M1C 1R4,Canada,Wastewater Treatment Plant,635,Sq. Ft.
Ellis Ave Sewage Pumping Station,35000391,91 THE QUEENSWAY,Toronto,Ontario,M6S 3J1,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Charles Caccia Park Pumping Station,35000388,348 Nairn,Toronto,Ontario,M6E 4L4,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Copeland Sewage PS,35000389,1 Copeland St,East York,Ontario,M4G 3E7,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Brickyard Pumping Station,35000386,550 Bayview Ave.,Toronto,Ontario,M4W 3X8,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Brule Gardens Sewage Pumping Station,35000387,0 Brule Gd,Toronto,Ontario,M6S 4J4,Canada,Wastewater Treatment Plant,151,Sq. Ft.
Baby Point Sewage Pumping Station,35000384,61 HUMBERVIEW RD,Toronto,Ontario,M6S 1W7,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Berry Rd Sewage Pumping Station,35000385,132 BERRY RD,Scarborough,Ontario,M1C 1G2,Canada,Wastewater Treatment Plant,7244,Sq. Ft.
Kennedy Park Sewage Pumping Station,35000398,15 BIRCHVIEW CRES,Toronto,Ontario,M6P 3H9,Canada,Wastewater Treatment Plant,151,Sq. Ft.
Kingston Rd Sewage Pumping Station,35000399,3231 KINGSTON RD,Scarborough,Ontario,M1M 1P7,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Humber Sewage Pumping Station,35000396,490 Riverside Dr,Toronto,Ontario,M6S 4B5,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Island Rd Sewage Pumping Station,35000397,251 ISLAND RD,Scarborough,Ontario,M1C 2R1,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Greyabbey Trail Sewage Pumping Station,35000394,144 GREYABBEY TRL,Scarborough,Ontario,M1E 1V9,Canada,Wastewater Treatment Plant,1001,Sq. Ft.
Highfield Sewage Pumping Station,35000395,1 Highfield Rd,Toronto,Ontario,M4L 2T7,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Fallingbrook Sewage Pumping Station,35000392,7 FALLINGBROOK DR,Scarborough,Ontario,M1N 1B3,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Grand River Sewage Pumping Station,35000393,104 GRAND RIVER BLVD,Scarborough,Ontario,M1B 1G5,Canada,Wastewater Treatment Plant,1,Sq. Ft.
808 Mt. Pleasant Rd.,35000438,808 Mt. Pleasant Rd.,Toronto,Ontario,M4P 2L2,Canada,Other - Public Services,1,Sq. Ft.
877 Yonge Street,35000439,877 Yonge St.,Toronto,Ontario,M4W 2H2,Canada,Other - Public Services,188170,Sq. Ft.
5800 Yonge St,35000436,5800 YONGE ST,North York,Ontario,M2M 3T3,Canada,Other - Public Services,84366,Sq. Ft.
7 Wardlaw Cres,35000437,7 WARDLAW CRES,Etobicoke,Ontario,M9V 1L3,Canada,Other - Public Services,1470,Sq. Ft.
233 Carlton St (Drop-in Centre),35000434,233 Carlton St,Toronto,Ontario,M5A 2L2,Canada,Other - Public Services,12754,Sq. Ft.
545 Lakeshore Blvd W (Homes First),35000435,545 LAKE SHORE BLVD W,Toronto,Ontario,M5V 1A3,Canada,Other - Public Services,90040,Sq. Ft.
1684 Queen St,35000432,1684 Queen St. W,Toronto,Ontario,M6R 1B3,Canada,Other - Public Services,1,Sq. Ft.
222 Spadina Ave,35000433,222 Spadina,Toronto,Ontario,M5T 2C2,Canada,Other - Public Services,72301,Sq. Ft.
Dixon Hall Respite,35000446,351 LAKE SHORE BLVD E,Toronto,Ontario,M5A 1C1,Canada,Other - Public Services,10000,Sq. Ft.
Downsview Dell,35000447,1651 SHEPPARD AVE W,North York,Ontario,M3M 2X4,Canada,Other - Public Services,5199,Sq. Ft.
Bellwoods House,35000444,63 BELLWOODS AVE,Toronto,Ontario,M6J 3N4,Canada,Other - Public Services,3224,Sq. Ft.
Birkdale Residence,35000445,1229 ELLESMERE RD,Scarborough,Ontario,M1P 4V8,Canada,Other - Public Services,35692,Sq. Ft.
Asquith Green Social Housing,35000442,21 PARK RD,Toronto,Ontario,M4W 2N1,Canada,Other - Public Services,6329,Sq. Ft.
Assessment & Referral Ctr,35000443,129 Peter St,Toronto,Ontario,M5V 2H3,Canada,Other - Public Services,11780,Sq. Ft.
9 Wardlaw Cres,35000440,9 WARDLAW CRES,Etobicoke,Ontario,M9V 1L3,Canada,Other - Public Services,1632,Sq. Ft.
Adelaide Resource Centre for Women,35000441,67 ADELAIDE ST E,Toronto,Ontario,M5C 1K6,Canada,Other - Public Services,15888,Sq. Ft.
Warren Park Sewage Pumping Station,35000422,6 PASADENA GDNS,Toronto,Ontario,M6S 4R3,Canada,Wastewater Treatment Plant,1,Sq. Ft.
West Point Sewage Pumping Station,35000423,5310 LAWRENCE AVE E,Scarborough,Ontario,M1C 1R4,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Valleymede Sewage Pumping Stn,35000420,69 ELLIS PARK RD,Toronto,Ontario,M6S 1G8,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Ward's Island Sewage Pumping Station,35000421,235 CIBOLA AVE,Toronto,Ontario,M5J 2W6,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Swansea Sewage Pumping Station,35000418,110 THE QUEENSWAY,Toronto,Ontario,M6S 1A5,Canada,Wastewater Treatment Plant,527,Sq. Ft.
Todmorden Mills Pumping Station,35000419,51 Pottery Rd.,Toronto,Ontario,M4K 2B9,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Southport St Sewage Pumping Station,35000416,5 SOUTHPORT ST,Toronto,Ontario,M6S 4W7,Canada,Wastewater Treatment Plant,1,Sq. Ft.
Strachan Sewage Pumping Station,35000417,1 STRACHAN AVE,Toronto,Ontario,M6K 1W7,Canada,Wastewater Treatment Plant,1,Sq. Ft.
101 Placer Court,35000430,101 Placer Crt,North York,Ontario,M2H 3H9,Canada,Other - Public Services,19200,Sq. Ft.
1155 King St W (Respite),35000431,69 FRASER AVE,Toronto,Ontario,M6K 1E9,Canada,Other - Public Services,9000,Sq. Ft.
Main Treatment Plant,35000428,1091 EASTERN AVE,Toronto,Ontario,M4L 1A8,Canada,Wastewater Treatment Plant,378438,Sq. Ft.
North Toronto Treatment Plant,35000429,21 REDWAY RD,East York,Ontario,M4H 1P6,Canada,Wastewater Treatment Plant,21786,Sq. Ft.
Highland Creek Treatment Plant,35000426,51 BEECHGROVE DR,Scarborough,Ontario,M1E 3Z3,Canada,Wastewater Treatment Plant,255395,Sq. Ft.
Humber Treatment Plant,35000427,130 THE QUEENSWAY,Etobicoke,Ontario,M8Y 1H9,Canada,Wastewater Treatment Plant,224869,Sq. Ft.
West Rouge Sewage Pumping Station,35000424,6570 LAWRENCE AVE E,Scarborough,Ontario,M1C 4A7,Canada,Wastewater Treatment Plant,3229,Sq. Ft.
Wirral Crt Sewage Pumping Station,35000425,8 WIRRAL CRT,Scarborough,Ontario,M1M 1S4,Canada,Wastewater Treatment Plant,1,Sq. Ft.
668A The Queensway,35000470,668A The Queensway,Etobicoke,Ontario,M8Y 1K7,Canada,Other - Public Services,1,Sq. Ft.
705 Progress Ave (Library Storage),35000471,705 Progress Ave,Scarborough,Ontario,M1H 2W7,Canada,Other - Public Services,5001,Sq. Ft.
5 Bartonville Ave,35000468,5 BARTONVILLE AVE E,Toronto,Ontario,M6M 2B1,Canada,Other - Public Services,3606,Sq. Ft.
545 Commissioners St,35000469,545 COMMISSIONERS ST,Toronto,Ontario,M4M 1A5,Canada,Other - Public Services,32679,Sq. Ft.
4001 Kingston Rd,35000466,4001 Kingston Rd,Scarborough,Ontario,M1E 1M1,Canada,Other - Public Services,1,Sq. Ft.
46A Chartway Blvd,35000467,46A Chartway Blvd,Scarborough,Ontario,M1C 5J1,Canada,Other - Public Services,1,Sq. Ft.
2 Sheffield St,35000464,2 Sheffield St.,Toronto,Ontario,M6M 3E6,Canada,Other - Public Services,1,Sq. Ft.
2200 Yonge St,35000465,2200 YONGE ST,Toronto,Ontario,M4P 2C6,Canada,Other - Public Services,1,Sq. Ft.
Bering Yd - Garage (Bldg D),35000478,320 Bering Ave,Etobicoke,Ontario,M8Z 3A3,Canada,Other - Public Services,7589,Sq. Ft.
Bering Yd - Maintenance (Bldg B),35000479,320 Bering Ave,Etobicoke,Ontario,M8Z 3A3,Canada,Other - Public Services,13401,Sq. Ft.
Bering Truck Shelter,35000476,330 BERING AVE,Etobicoke,Ontario,M8Z 3A3,Canada,Other - Public Services,8633,Sq. Ft.
Bering Yd - Admin (Bldg E),35000477,320 Bering Ave,Etobicoke,Ontario,M8Z 3A3,Canada,Other - Public Services,9698,Sq. Ft.
Bentworth Park Yard - Bldg 1,35000474,140 BENTWORTH AVE,North York,Ontario,M6A 1P7,Canada,Other - Public Services,5554,Sq. Ft.
Bentworth Park Yard - Bldg 2,35000475,140 BENTWORTH AVE,North York,Ontario,M6A 1P7,Canada,Other - Public Services,6330,Sq. Ft.
Alliance Overhead Shop,35000472,391 ALLIANCE AVE,Toronto,Ontario,M6N 2J1,Canada,Other - Public Services,34952,Sq. Ft.
Alness Yard,35000473, ALNESS ST,North York,Ontario,M3J 3H3,Canada,Other - Public Services,25715,Sq. Ft.
Homes First GSR Site,35000454,4117 LAWRENCE AVE E,Scarborough,Ontario,M1E 2S2,Canada,Other - Public Services,14634,Sq. Ft.
Islington Seniors' Shelter,35000455,2671 ISLINGTON AVE,Etobicoke,Ontario,M9V 2X6,Canada,Other - Public Services,21328,Sq. Ft.
GSR Transition Site (705 Progress),35000452,705 Progress Ave.,Scarborough,Ontario,M1H 2X1,Canada,Other - Public Services,26730,Sq. Ft.
GSR Transition Site (731 Runnymede Rd),35000453,731 RUNNYMEDE RD,Toronto,Ontario,M6N 3V7,Canada,Other - Public Services,19383,Sq. Ft.
Fred Victor Respite,35000450,701 FLEET ST,Toronto,Ontario,M5V 1B7,Canada,Other - Public Services,9000,Sq. Ft.
GSR Transition Site (2299 Dundas),35000451,2299 DUNDAS ST W,Toronto,Ontario,M6R 1X7,Canada,Other - Public Services,22648,Sq. Ft.
Family Residence,35000448,4222 KINGSTON RD,Scarborough,Ontario,M1E 2M6,Canada,Other - Public Services,39999,Sq. Ft.
Fort York Residence,35000449,38 BATHURST ST,Toronto,Ontario,M5V 3W3,Canada,Other - Public Services,25995,Sq. Ft.
150 Disco Rd,35000462,150 DISCO RD,Etobicoke,Ontario,M9W 1M4,Canada,Other - Public Services,10570,Sq. Ft.
1904 Brimley Rd.,35000463,1904 BRIMLEY RD,Scarborough,Ontario,M1S 2A9,Canada,Other - Public Services,301,Sq. Ft.
Women's Residence,35000460,674 DUNDAS ST W,Toronto,Ontario,M5T 1H9,Canada,Other - Public Services,28255,Sq. Ft.
YWCA Women's Shelter,35000461,348 DAVENPORT RD,Toronto,Ontario,M5R 1K6,Canada,Other - Public Services,17000,Sq. Ft.
Seaton House,35000458,339 GEORGE ST,Toronto,Ontario,M5A 2N2,Canada,Other - Public Services,97995,Sq. Ft.
Warden Woods Respite,35000459,705 Progress Ave.,Scarborough,Ontario,M1H 2X1,Canada,Other - Public Services,7565,Sq. Ft.
Robertson House,35000456,291 SHERBOURNE ST,Toronto,Ontario,M5A 2R9,Canada,Other - Public Services,19795,Sq. Ft.
Scarborough Village Residence,35000457,3306 KINGSTON RD,Scarborough,Ontario,M1M 1P8,Canada,Other - Public Services,29870,Sq. Ft.
Finch Yard,35000502,1026 FINCH AVE W,North York,Ontario,M3J 2E1,Canada,Other - Public Services,148198,Sq. Ft.
Former PMMD Warehouse,35000503,160 RIVALDA RD,North York,Ontario,M9M 2M8,Canada,Other - Public Services,22604,Sq. Ft.
Ellesmere Yard,35000500,1050 ELLESMERE RD,Scarborough,Ontario,M1P 2X3,Canada,Other - Public Services,138069,Sq. Ft.
Emery Parks Yard,35000501,27 TORYORK DR,North York,Ontario,M9L 1X9,Canada,Other - Public Services,18998,Sq. Ft.
Eastern Ave Yard - Office,35000498,843 EASTERN AVE,Toronto,Ontario,M4L 1A2,Canada,Other - Public Services,84701,Sq. Ft.
Eglinton Flats Service Building,35000499,3700 EGLINTON AVE W,Toronto,Ontario,M6M 1V8,Canada,Other - Public Services,5705,Sq. Ft.
Dufferin Maintenance Yard,35000496,75 VANLEY CRES,North York,Ontario,M3J 2B7,Canada,Other - Public Services,31667,Sq. Ft.
Eastern Ave Yard  - Equipment Shop,35000497,875 EASTERN AVE,Toronto,Ontario,M4L 1A2,Canada,Other - Public Services,9698,Sq. Ft.
Kipling Yard - Toronto Water,35000510,435 KIPLING AVE,Etobicoke,Ontario,M8Z 5E7,Canada,Other - Public Services,11001,Sq. Ft.
Leslie Barns,35000511,1165 LAKE SHORE BLVD E,Toronto,Ontario,M4M 0C3,Canada,Other - Public Services,279862,Sq. Ft.
Kipling & Steeles,35000508,2800 Kipling Ave,Etobicoke,Ontario,M9V 4V7,Canada,Other - Public Services,1,Sq. Ft.
Kipling Yard - PF&R,35000509,441 KIPLING AVE,Etobicoke,Ontario,M8Z 5E7,Canada,Other - Public Services,27373,Sq. Ft.
Joel Weeks Park - Storage Bldg,35000506,10 THOMPSON ST,Toronto,Ontario,M4M 1L8,Canada,Other - Public Services,183,Sq. Ft.
King St Yard,35000507,1116 KING ST W,Toronto,Ontario,M6K 1E6,Canada,Other - Public Services,83485,Sq. Ft.
Hamilton Street Yard,35000504,138 HAMILTON ST,Toronto,Ontario,M4M 2E1,Canada,Other - Public Services,2756,Sq. Ft.
Ingram Yard,35000505,86 INGRAM DR,Toronto,Ontario,M6M 2L6,Canada,Other - Public Services,23907,Sq. Ft.
Brimley Parks Yard,35000486,451 BRIMLEY RD,Scarborough,Ontario,M1J 1A2,Canada,Other - Public Services,2809,Sq. Ft.
Caledonia Road Service Yard,35000487,1141 CALEDONIA RD,North York,Ontario,M6A 2W9,Canada,Other - Public Services,1981,Sq. Ft.
Birchmount Park Yard,35000484,1901 BIRCHMOUNT RD,Scarborough,Ontario,M1P 4W9,Canada,Other - Public Services,15317,Sq. Ft.
Booth Avenue Yard,35000485,433 EASTERN AVE,Toronto,Ontario,M4M 1B7,Canada,Other - Public Services,236645,Sq. Ft.
Bermondsey Yard - SWM,35000482,45 OLD EGLINTON AVE,North York,Ontario,M4A 1H4,Canada,Other - Public Services,66155,Sq. Ft.
Bermondsey Yard - Transportation,35000483,195 BERMONDSEY RD,North York,Ontario,M4A 1X9,Canada,Other - Public Services,4618,Sq. Ft.
Bering Yd - Storage (Bldg F),35000480,320 Bering Ave,Etobicoke,Ontario,M8Z 3A3,Canada,Other - Public Services,9881,Sq. Ft.
Bering Yd - Warehouse (Bldg A),35000481,320 Bering Ave,Etobicoke,Ontario,M8Z 3A3,Canada,Other - Public Services,4596,Sq. Ft.
Disco Yd Bldg C- Vehicle Maint,35000494,150 DISCO RD,Etobicoke,Ontario,M9W 1M4,Canada,Other - Public Services,22959,Sq. Ft.
Disco Yd Bldg D- North Garage,35000495,150 DISCO RD,Etobicoke,Ontario,M9W 1M4,Canada,Other - Public Services,24445,Sq. Ft.
Disco Yd Bldg A- Employee Bldg,35000492,150 DISCO RD,Etobicoke,Ontario,M9W 1M4,Canada,Other - Public Services,7998,Sq. Ft.
